num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
100,50,800,800,0.337,10.026,4.2,4.2
100,50,1250,100,0.412,10.026,15.3,15.3
100,50,1250,250,0.467,10.026,7.5,7.5
100,50,1250,500,0.467,10.026,7.2,7.2
100,50,1250,800,0.467,10.026,7.2,7.2
100,100,50,100,0.313,10.026,7.9,7.9
100,100,50,250,0.313,10.026,2.4,2.4
100,100,50,500,0.313,10.026,2.3,2.3
100,100,50,800,0.313,10.026,2.3,2.3
100,100,100,100,0.422,10.026,10.5,10.5
100,100,100,250,0.422,10.026,4.0,4.0
100,100,100,500,0.422,10.026,3.8,3.8
100,100,100,800,0.422,10.026,3.6,3.6
100,100,250,100,0.412,10.026,9.3,9.3
100,100,250,250,0.412,10.026,4.4,4.4
100,100,250,500,0.412,10.026,4.2,4.2
100,100,250,800,0.412,10.026,2.1,2.1
100,100,500,100,0.507,10.026,9.4,9.4
100,100,500,250,0.507,10.026,3.3,3.3
100,100,500,500,0.507,10.026,3.0,3.0
100,100,500,800,0.507,10.026,2.9,2.9
100,100,800,100,0.551,10.026,13.1,13.1
100,100,800,250,0.597,10.026,7.2,7.2
100,100,800,500,0.597,10.026,7.0,7.0
100,100,800,800,0.597,10.026,6.9,6.9
100,100,1250,100,0.747,10.026,20.1,20.1
100,100,1250,250,0.934,10.026,11.8,11.8
100,100,1250,500,0.934,10.026,11.4,11.4
100,100,1250,800,0.934,10.026,11.5,11.5
100,250,50,100,0.405,10.026,8.2,8.2
100,250,50,250,0.405,10.026,2.5,2.5
100,250,50,500,0.405,10.026,2.4,2.4
100,250,50,800,0.405,10.026,2.3,2.3
100,250,100,100,0.599,10.026,9.8,9.8
100,250,100,250,0.599,10.026,2.4,2.4
100,250,100,500,0.599,10.026,2.2,2.2
100,250,100,800,0.599,10.026,2.1,2.1
100,250,250,100,0.699,10.026,8.7,8.7
100,250,250,250,0.699,10.026,2.8,2.8
100,250,250,500,0.699,10.026,2.5,2.5
100,250,250,800,0.699,10.026,2.4,2.4
100,250,500,100,1.006,10.026,10.8,10.8
100,250,500,250,1.006,10.026,4.7,4.7
100,250,500,500,1.006,10.026,4.4,4.4
100,250,500,800,1.006,10.026,4.3,4.3
100,250,800,100,1.204,10.026,16.9,16.9
100,250,800,250,1.494,10.026,10.6,10.6
100,250,800,500,1.494,10.026,11.5,11.5
100,250,800,800,1.494,10.026,11.3,11.3
100,250,1250,100,1.868,10.026,29.2,29.2
100,250,1250,250,2.334,10.026,22.8,22.8
100,250,1250,500,2.334,10.026,23.0,23.0
100,250,1250,800,2.334,10.026,23.6,23.6
100,500,50,100,0.809,10.026,8.1,8.1
100,500,50,250,0.809,10.026,2.5,2.5
100,500,50,500,0.809,10.026,2.3,2.3
100,500,50,800,0.809,10.026,2.3,2.3
100,500,100,100,1.197,10.026,9.8,9.8
100,500,100,250,1.197,10.026,2.5,2.5
100,500,100,500,1.197,10.026,2.2,2.2
100,500,100,800,1.197,10.026,2.0,2.0
100,500,250,100,1.398,10.026,9.0,9.0
100,500,250,250,1.398,10.026,3.3,3.3
100,500,250,500,1.398,10.026,3.1,3.1
100,500,250,800,1.398,10.026,2.9,2.9
100,500,500,100,2.010,10.026,12.2,12.2
100,500,500,250,2.010,10.026,6.7,6.7
100,500,500,500,2.010,10.026,6.5,6.5
100,500,500,800,2.010,10.026,6.3,6.3
100,500,800,100,2.403,10.026,24.5,24.5
100,500,800,250,2.987,10.026,18.5,18.5
100,500,800,500,2.987,10.026,21.2,21.2
100,500,800,800,2.987,10.026,19.6,19.6
100,500,1250,100,3.736,10.026,47.8,47.8
100,500,1250,250,4.668,10.026,45.2,45.2
100,500,1250,500,4.668,10.026,45.9,45.9
100,500,1250,800,4.668,10.026,44.7,44.7
100,800,50,100,1.412,10.026,8.0,8.0
100,800,50,250,1.412,10.026,2.5,2.5
100,800,50,500,1.412,10.026,2.4,2.4
100,800,50,800,1.412,10.026,2.4,2.4
100,800,100,100,2.085,10.026,9.6,9.6
100,800,100,250,2.085,10.026,2.5,2.5
100,800,100,500,2.085,10.026,2.3,2.3
100,800,100,800,2.085,10.026,2.2,2.2
100,800,250,100,2.397,10.026,9.5,9.5
100,800,250,250,2.397,10.026,3.9,3.9
100,800,250,500,2.397,10.026,3.7,3.7
100,800,250,800,2.397,10.026,3.5,3.5
100,800,500,100,3.299,10.026,14.9,14.9
100,800,500,250,3.299,10.026,9.4,9.4
100,800,500,500,3.299,10.026,9.2,9.2
100,800,500,800,3.299,10.026,8.9,8.9
100,800,800,100,3.994,10.026,42.0,42.0
100,800,800,250,4.780,10.026,35.1,35.1
100,800,800,500,4.780,10.026,37.2,37.2
100,800,800,800,4.780,10.026,32.5,32.5
100,800,1250,100,5.978,10.026,80.7,80.7
100,800,1250,250,7.468,10.026,87.4,87.4
100,800,1250,500,7.468,10.026,78.5,78.5
100,800,1250,800,7.468,10.026,80.4,80.4
100,1250,50,100,2.023,10.026,8.3,8.3
100,1250,50,250,2.023,10.026,2.5,2.5
100,1250,50,500,2.023,10.026,2.4,2.4
100,1250,50,800,2.023,10.026,2.4,2.4
100,1250,100,100,2.993,10.026,10.3,10.3
100,1250,100,250,2.993,10.026,1.8,1.8
100,1250,100,500,2.993,10.026,1.6,1.6
100,1250,100,800,2.993,10.026,1.5,1.5
100,1250,250,100,3.493,10.026,10.7,10.7
100,1250,250,250,3.493,10.026,4.1,4.1
100,1250,250,500,3.493,10.026,3.9,3.9
100,1250,250,800,3.493,10.026,3.7,3.7
100,1250,500,100,5.020,10.026,19.0,19.0
100,1250,500,250,5.020,10.026,12.8,12.8
100,1250,500,500,5.020,10.026,12.7,12.7
100,1250,500,800,5.020,10.026,12.4,12.4
100,1250,800,100,6.001,10.026,50.0,50.0
100,1250,800,250,7.468,10.026,49.0,49.0
100,1250,800,500,7.468,10.026,47.6,47.6
100,1250,800,800,7.468,10.026,49.6,49.6
250,50,50,100,0.136,10.026,10.9,10.9
250,50,50,250,0.392,10.026,4.2,4.2
250,50,50,500,0.392,10.026,2.6,2.6
250,50,50,800,0.392,10.026,2.4,2.4
250,50,100,100,0.233,10.026,14.8,14.8
250,50,100,250,0.627,10.026,5.7,5.7
250,50,100,500,0.627,10.026,1.1,1.1
250,50,100,800,0.627,10.026,1.3,1.3
250,50,250,100,0.283,10.026,13.3,13.3
250,50,250,250,0.536,10.026,5.7,5.7
250,50,250,500,0.536,10.026,1.3,1.3
250,50,250,800,0.536,10.026,1.4,1.4
250,50,500,100,0.350,10.026,14.7,14.7
250,50,500,250,0.584,10.026,5.7,5.7
250,50,500,500,0.584,10.026,2.0,2.0
250,50,500,800,0.584,10.026,1.8,1.8
250,50,800,100,0.439,10.026,19.8,19.8
250,50,800,250,0.728,10.026,10.0,10.0
250,50,800,500,0.728,10.026,4.1,4.1
250,50,800,800,0.728,10.026,4.4,4.4
250,50,1250,100,0.550,10.026,27.2,27.2
250,50,1250,250,0.870,10.026,14.0,14.0
250,50,1250,500,0.870,10.026,8.8,8.8
250,50,1250,800,0.870,10.026,7.6,7.6
250,100,50,100,0.318,10.026,11.8,11.8
250,100,50,250,0.970,10.026,4.8,4.8
250,100,50,500,0.970,10.026,2.8,2.8
250,100,50,800,0.970,10.026,2.7,2.7
250,100,100,100,0.417,10.026,14.6,14.6
250,100,100,250,1.297,10.026,6.2,6.2
250,100,100,500,1.297,10.026,1.2,1.2
250,100,100,800,1.297,10.026,1.4,1.4
250,100,250,100,0.628,10.026,14.0,14.0
250,100,250,250,1.256,10.026,5.9,5.9
250,100,250,500,1.256,10.026,1.5,1.5
250,100,250,800,1.256,10.026,1.6,1.6
250,100,500,100,0.627,10.026,14.6,14.6
250,100,500,250,1.602,10.026,6.8,6.8
250,100,500,500,1.602,10.026,3.8,3.8
250,100,500,800,1.602,10.026,3.7,3.7
250,100,800,100,0.924,10.026,22.1,22.1
250,100,800,250,1.575,10.026,12.8,12.8
250,100,800,500,1.575,10.026,6.7,6.7
250,100,800,800,1.575,10.026,6.9,6.9
250,100,1250,100,1.087,10.026,32.0,32.0
250,100,1250,250,2.049,10.026,21.3,21.3
250,100,1250,500,2.049,10.026,15.8,15.8
250,100,1250,800,2.049,10.026,13.6,13.6
250,250,50,100,0.362,10.026,12.2,12.2
250,250,50,250,1.002,10.026,4.5,4.5
250,250,50,500,1.002,10.026,2.8,2.8
250,250,50,800,1.002,10.026,2.6,2.6
250,250,100,100,0.573,10.026,14.8,14.8
250,250,100,250,1.475,10.026,5.7,5.7
